%force (pN)	%C_eff (nm)	%extension (nm)	%epsilon
2.111867499	98.90190734	3836.129466	-17.69640501
2.217175138	99.2347599	3847.122993	-18.68483687
2.32773391	99.55863443	3857.850368	-19.72548973
2.443805662	99.87370402	3868.318093	-20.82103935
2.565665297	100.1802483	3878.533074	-21.97429677
2.693601426	100.4784512	3888.501323	-23.18821496
2.827917052	100.7684294	3898.228727	-24.46589612
2.968930286	101.0503954	3907.721196	-25.81059874
3.116975103	101.3244946	3916.984453	-27.22574609
3.27240213	101.5909869	3926.024317	-28.71493409
3.435579479	101.8499655	3934.845966	-30.28193997
3.606893618	102.1015993	3943.45469	-31.93073138
3.786750284	102.3461157	3951.856007	-33.6654761
3.975575449	102.5835323	3960.05425	-35.49055182
4.173816325	102.8141715	3968.055236	-37.41055685
4.381942422	103.0380944	3975.86321	-39.43032115
4.600446664	103.2554524	3983.482913	-41.55491788
4.829846555	103.4664598	3990.919173	-43.78967559
5.070685402	103.6711566	3998.175929	-46.14019105
5.323533606	103.8697614	4005.257958	-48.61234264
5.58899001	104.0624618	4012.169672	-51.21230461
5.867683318	104.2492644	4018.914509	-53.9465616
6.160273583	104.4303824	4025.496931	-56.82192447
6.467453775	104.6059781	4031.921009	-59.84554653
6.789951414	104.776144	4038.190346	-63.02494059
7.128530301	104.9410091	4044.308695	-66.36799711
7.483992323	105.1007279	4050.279785	-69.88300303
7.857179352	105.2553905	4056.1071	-73.57866165
8.248975239	105.4051394	4061.7941	-77.46411356
8.660307911	105.5500934	4067.344217	-81.5489579
9.092151563	105.6903944	4072.76083	-85.84327644
9.545528969	105.8261323	4078.04703	-90.35765668
10.0215139	105.9574214	4083.205996	-95.10321782
10.52123368	106.084406	4088.240864	-100.091637
11.04587184	106.2071827	4093.154578	-105.3351773
11.59667092	106.3258486	4097.950036	-110.8467172
12.17493543	106.4405303	4102.630127	-116.6397811
12.78203493	106.5513236	4107.19761	-122.7285717
13.41940726	106.6583396	4111.655205	-129.1280041
14.08856197	106.7626223	4116.006395	-135.8537414
14.79108388	106.8614577	4120.251325	-142.9222316
